mgi_symbol,hgnc_symbol
Fgf16,FGF16
Chst14,CHST14
Grin2d,GRIN2D
mt-Atp8,MT-ATP8
Zfp704,ZNF704
Poc5,POC5
Cst10,CST2
Armcx6,ARMCX6
mt-Co3,MT-CO3
mt-Atp6,MT-ATP6
Ube2j1,UBE2J1
mt-Co2,MT-CO2
Tmem245,TMEM245
Ptgdr,PTGDR
Sacs,SACS
Ceacam2,PSG9
Ceacam10,PSG9
Ceacam1,PSG9
Fhl5,FHL5
9530068E07Rik,C5orf15
Prr3,PRR3
Abcg4,ABCG4
Ocm,OCM
mt-Cytb,MT-CYB
Cldn3,CLDN3
Gpbar1,GPBAR1
Pfkfb1,PFKFB1
mt-Co1,MT-CO1
Ptger2,PTGER2
mt-Nd4l,MT-ND4L
mt-Nd5,MT-ND5
Cd99l2,CD99L2
Sectm1b,SECTM1
mt-Nd1,MT-ND1
Npm3,NPM3
Ndrg3,NDRG3
mt-Nd6,MT-ND6
Dthd1,DTHD1
3110043O21Rik,C9orf72
Olfr1001-ps1,OR5G3
Kcnk9,KCNK9
mt-Nd3,MT-ND3
Ilf3,ILF3
mt-Nd4,MT-ND4
Sectm1a,SECTM1
Mrpl44,MRPL44
Tspyl4,TSPYL4
Csnk1g2,CSNK1G2
mt-Nd2,MT-ND2
Prps1l1,PRPS1L1
Aqp4,AQP4
AA467197,C15orf48
Ralgps1,RALGPS1
Parp11,PARP11
Entpd8,ENTPD8
Wdr36,WDR36
Dgcr2,DGCR2
Rhobtb3,RHOBTB3
Cchcr1,CCHCR1
Lgals1,LGALS1
Nup93,NUP93
Tmem167,TMEM167A
Twist2,TWIST2
Noxa1,NOXA1
Clcn4,CLCN4
Ccdc32,CCDC32
Dse,DSE
Nme6,NME6
Eci1,ECI1
Glrx,GLRX
Grhl2,GRHL2
Akap1,AKAP1
Mcee,MCEE
Fam160b1,FAM160B1
Pip5kl1,PIP5KL1
4930447C04Rik,C14orf39
Srms,SRMS
S1pr4,S1PR4
Gnl1,GNL1
Fscb,FSCB
Washc1,WASHC1
Gm20518,DGCR2
Lmntd1,LMNTD1
Utp18,UTP18
Prdm9,ZNF589
Gm7173,CFAP47
Xrcc4,XRCC4
Fndc1,FNDC1
Tspyl1,TSPYL1
Smim19,SMIM19
Cdk5rap1,CDK5RAP1
Mageb16,MAGEB16
Ube2v1,UBE2V1
Abca1,ABCA1
Cst10,CST5
Vegfa,VEGFA
Ism1,ISM1
Hist1h2ba,HIST1H2BA
Slc20a2,SLC20A2
Insl6,INSL6
Upf1,UPF1
Hist1h2aa,HIST1H2AA
Fam110c,FAM110C
Slc30a4,SLC30A4
Ccz1,CCZ1
Ube2e3,UBE2E3
Cldn4,CLDN4
Msh2,MSH2
Tmem128,TMEM128
Tceal3,TCEAL3
Mphosph6,MPHOSPH6
Gpm6b,GPM6B
Defb21,DEFB118
Lyar,LYAR
Tssc4,TSSC4
Gm45837,PDE2A
Tax1bp3,TAX1BP3
